,País,Moneda,Margen Interés con Cliente,Costo de Hedging,Proxy,Utilidad antes de Impuestos,Utilidad Después de Impuestos,Utilidad Ajustada Riesgo,Ranking Credito,loan_margin_percentage,Impuesto Corporativo,Tasa de Inflación,Tasa Base Préstamo,Tasa Préstamo Total
67,Fiyi,fjd,5.75,4.0,Log Inflation,1.7499999999999996,1.3124999999999996,0.0198863636363636,35,6.0,25.0,4.0,0.25,6.25
0,Suiza,chf,5.499999999999999,-0.0361832731302746,Forward Rate,5.536183273130274,4.727900515253254,4.727900515253254,100,6.0,14.6,0.4,0.5,6.5
21,Japón,jpy,5.499999999999999,-0.0344958214729351,Forward Rate,5.534495821472935,3.839833200937922,0.1599930500390801,77,6.0,30.62,4.0,0.5,6.5
65,Camboya,khr,5.23,3.05,Log Inflation,2.18,1.744,0.0245633802816901,30,6.0,20.0,3.05,0.77,6.77
44,Seychelles,scr,4.25,-1.9905545213406093,Forward Rate,6.240554521340609,4.181171529298208,0.0685437955622657,40,6.0,33.0,0.97,1.75,7.75
30,Botsuana,bwp,4.1,-0.48661896511729,Forward Rate,4.58661896511729,3.577562792791486,0.1052224350821025,67,6.0,22.0,2.5,1.9,7.9
36,Barbados,bbd,4.0,-2.556678097200695,Forward Rate,6.5566780972006935,6.196060801854656,0.0848775452308856,28,6.0,5.5,0.4,2.0,8.0
12,Taiwan,twd,4.0,-0.3306431097478656,Forward Rate,4.330643109747865,3.464514487798292,0.3149558625271174,90,6.0,20.0,2.66,2.0,8.0
6,Suecia,sek,3.75,-0.0540627377650926,Forward Rate,3.804062737765093,3.020425813785484,1.510212906892742,99,6.0,20.6,0.9,2.25,8.249999999999998
26,Tailandia,thb,3.75,-1.6445163096161295,Forward Rate,5.39451630961613,4.315613047692905,0.1198781402136917,65,6.0,20.0,1.32,2.25,8.249999999999998
