,País,Moneda,Margen Interés con Cliente,Costo de Hedging,Proxy,Utilidad antes de Impuestos,Utilidad Después de Impuestos,Utilidad Ajustada Riesgo,Ranking Credito,loan_margin_percentage,Impuesto Corporativo,Tasa de Inflación,Tasa Base Préstamo,Tasa Préstamo Total
59,Sri Lanka,lkr,-2.0000000000000018,-7.038079676179954,Forward Rate,5.038079676179952,3.526655773325966,0.0391850641480662,11,6.0,30.0,-4.0,8.0,14.000000000000002
33,Bahamas,bsd,1.9999999999999991,-3.960913809504584,Forward Rate,5.960913809504583,5.960913809504583,0.0931392782735091,37,6.0,0.0,-1.0,4.0,10.0
50,Papúa Nueva Guinea,pgk,1.9999999999999991,-3.8599546893693466,Forward Rate,5.859954689369346,4.101968282558541,0.0554320038183586,27,6.0,30.0,-0.9,4.0,10.0
15,Catar,qar,0.9000000000000008,-2.716167764182291,Forward Rate,3.616167764182292,3.2545509877640626,0.250350075981851,88,6.0,10.0,0.24,5.1,11.099999999999998
36,Barbados,bbd,4.0,-2.556678097200695,Forward Rate,6.5566780972006935,6.196060801854656,0.0848775452308856,28,6.0,5.5,0.4,2.0,8.0
19,China,cny,2.9,-2.457126073050533,Forward Rate,5.357126073050533,4.017844554787899,0.1746888936864304,78,6.0,25.0,0.5,3.1,9.1
55,Baréin,bhd,0.7500000000000007,-2.457126073050533,Forward Rate,3.2071260730505333,3.2071260730505333,0.0471636187213313,33,6.0,0.0,0.5,5.25,11.249999999999998
45,Trinidad y Tobago,ttd,2.5,-2.457126073050533,Forward Rate,4.957126073050532,3.4699882511353723,0.0680389853163798,50,6.0,30.0,0.5,3.5,9.5
16,Macao,mop,1.2499999999999998,-2.3874985773246733,Forward Rate,3.637498577324673,3.2009987480457123,0.2286427677175508,87,6.0,12.0,0.57,4.75,10.75
63,Senegal,xof,0.5000000000000004,-2.357673056399693,Forward Rate,2.857673056399694,2.000371139479786,0.0303086536284816,35,6.0,30.0,1.8,5.5,11.5
