,País,Moneda,Margen Interés con Cliente,Costo de Hedging,Proxy,Utilidad antes de Impuestos,Utilidad Después de Impuestos,Utilidad Ajustada Riesgo,Ranking Credito,loan_margin_percentage,Impuesto Corporativo,Tasa de Inflación,Tasa Base Préstamo,Tasa Préstamo Total
0,Suiza,chf,5.499999999999999,-0.0361832731302746,Forward Rate,5.536183273130274,4.727900515253254,4.727900515253254,100,6.0,14.6,0.4,0.5,6.5
1,Dinamarca,dkk,3.65,-1.4670189747793747,Forward Rate,5.117018974779375,3.9912748003279126,3.9912748003279126,100,6.0,22.0,1.5,2.35,8.35
2,Luxemburgo,eur,3.1,-0.0415925938200056,Forward Rate,3.1415925938200058,2.39169444167517,2.39169444167517,100,6.0,23.87,1.94,2.9,8.9
3,Países Bajos,eur,3.1,-0.0415925938200056,Forward Rate,3.1415925938200058,2.331061704614444,2.331061704614444,100,6.0,25.8,3.3,2.9,8.9
4,Canadá,cad,3.0,-0.0075373022562663,Forward Rate,3.0075373022562664,2.210539917158356,2.210539917158356,100,6.0,26.5,1.9,3.0,9.0
5,Alemania,eur,3.1,-0.0415925938200056,Forward Rate,3.1415925938200058,2.199114815674004,2.199114815674004,100,6.0,30.0,2.3,2.9,8.9
6,Suecia,sek,3.75,-0.0540627377650926,Forward Rate,3.804062737765093,3.020425813785484,1.510212906892742,99,6.0,20.6,0.9,2.25,8.249999999999998
7,Singapur,sgd,3.65,-1.7630231376270602,Forward Rate,5.413023137627061,4.49280920423046,1.49760306807682,98,6.0,17.0,1.2,2.35,8.35
8,Australia,aud,1.9000000000000004,-0.0061134037041221,Forward Rate,1.9061134037041223,1.3342793825928856,1.3342793825928856,100,6.0,30.0,2.4,4.1,10.1
9,Noruega,nok,1.5,-0.0341052226392801,Forward Rate,1.5341052226392802,1.1966020736586385,0.5983010368293192,99,6.0,22.0,2.3,4.5,10.5
