Country,Adjusted Profitability (%),Base Loan Rate (%),Total Loan Rate (%),Annualized Coverage Cost (%),Coverage Cost Type,Interest Rate Differential (%),Pre-Tax Arbitrage Profit (%),Post-Tax Arbitrage Profit (%),Risk Rating (te),Loan Markup (%),Corporate Tax (%),Inflation Rate (%),Spot Exchange Rate,Forward Exchange Rate
switzerland,10.283532278818303,0.5,4.5,-3.5416068838621806,Forward Rate,8.5,12.041606883862181,10.283532278818303,100,4.0,14.6,0.4,0.8981,0.8968
luxembourg,5.831801207707566,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,5.831801207707566,100,4.0,23.87,1.94,0.9540,0.9538
netherlands,5.683957042058339,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,5.683957042058339,100,4.0,25.8,3.3,0.9540,0.9538
germany,5.362223624583339,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,5.362223624583339,100,4.0,30.0,2.3,0.9540,0.9538
finland,1.2256511141904776,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,6.128255570952388,96,4.0,20.0,0.7,0.9540,0.9538
austria,1.1796891974083348,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,5.898445987041674,96,4.0,23.0,3.2,0.9540,0.9538
united_states_of_america,0.8887500000000003,4.5,8.5,0.0,Forward Rate,4.500000000000001,4.500000000000001,3.555000000000001,97,4.0,21.0,3.0,1.0000,1.0000
united_kingdom,0.6478035043258547,4.5,8.5,-7.592332080749287,Forward Rate,4.500000000000001,12.092332080749287,9.069249060561965,87,4.0,25.0,3.0,0.7888,0.7894
france,0.5222945088879877,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,5.745239597767863,90,4.0,25.0,1.7,0.9540,0.9538
ireland,0.5155984254407058,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,6.702779530729175,88,4.0,12.5,1.9,0.9540,0.9538
belgium,0.41037425698341884,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,5.745239597767863,87,4.0,25.0,4.08,0.9540,0.9538
estonia,0.2918216938548756,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,6.128255570952388,80,4.0,20.0,3.9,0.9540,0.9538
lithuania,0.2573867339800003,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,6.434668349500007,76,4.0,16.0,3.6,0.9540,0.9538
slovenia,0.23900196726714312,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,5.975049181678578,76,4.0,22.0,2.0,0.9540,0.9538
slovakia,0.22391703047710648,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,5.821842792404768,75,4.0,24.0,3.9,0.9540,0.9538
latvia,0.21131915761904785,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,6.128255570952388,72,4.0,20.0,3.0,0.9540,0.9538
portugal,0.20172174587718278,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,6.0516523763154835,71,4.0,21.0,2.5,0.9540,0.9538
cyprus,0.19150798659226215,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,6.702779530729175,66,4.0,12.5,2.5,0.9540,0.9538
malta,0.19150798659226215,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,4.9792076513988155,75,4.0,35.0,1.8,0.9540,0.9538
spain,0.19150798659226212,2.9,6.9,-1.560319463690485,Forward Rate,6.1,7.6603194636904846,5.745239597767863,71,4.0,25.0,2.9,0.9540,0.9538
