country,last,previous,rate_of_change,unit,date
peru,29.5,29.5,0.0,percent,2025-12-01
singapore,17.0,17.0,0.0,percent,2025-12-01
hongkong,16.5,16.5,0.0,percent,2025-12-01
newzealand,28.0,28.0,0.0,percent,2025-12-01
australia,30.0,30.0,0.0,percent,2025-12-01
switzerland,14.6,14.6,0.0,percent,2025-12-01
ecuador,25.0,25.0,0.0,percent,2025-12-01
usa,21.0,21.0,0.0,percent,2025-12-01
eurozone,23.0,23.0,0.0,percent,2023-12-01
southkorea,24.0,24.0,0.0,percent,2025-12-01
uk,25.0,25.0,0.0,percent,2025-12-01
japan,30.62,30.62,0.0,percent,2025-12-01
brazil,34.0,34.0,0.0,percent,2025-12-01
canada,26.5,26.5,0.0,percent,2025-12-01
