country,last,previous,rate_of_change,unit,date
singapore,37.0,37.0,0.0,percent,2025-12-01
newzealand,13.0,13.0,0.0,percent,2025-12-01
australia,14.0,13.5,0.5,percent,2025-12-01
switzerland,12.8,12.8,0.0,percent,2025-12-01
ecuador,21.6,21.6,0.0,percent,2025-12-01
usa,15.3,15.3,0.0,percent,2025-12-01
southkorea,19.75,19.75,0.0,percent,2025-12-01
uk,23.8,27.8,4.0,percent,2025-12-01
japan,32.09,30.51,1.5800000000000018,percent,2024-12-01
brazil,42.8,42.8,0.0,percent,2025-12-01
canada,15.84,15.88,0.0400000000000009,percent,2025-12-01
