country,currency_code,interest_rate_diff,annual_hedging_cost,hedging_type,pre_tax_arbitrage_profit,post_tax_arbitrage_profit,risk_adjusted_profit,risk_rating,loan_margin_percentage,corporate_tax,inflation_rate,loan_interest_rate,total_loan_rate
switzerland,chf,5.499999999999999,-0.036183273130274696,Forward Rate,5.536183273130274,4.727900515253254,4.727900515253254,100,6.0,14.6,0.4,0.5,6.5
denmark,dkk,3.6500000000000004,-1.4670189747793747,Forward Rate,5.117018974779375,3.9912748003279126,3.9912748003279126,100,6.0,22.0,1.5,2.35,8.35
luxembourg,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.39169444167517,2.39169444167517,100,6.0,23.87,1.94,2.9,8.9
netherlands,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.331061704614444,2.331061704614444,100,6.0,25.8,3.3,2.9,8.9
canada,cad,3.0,-0.007537302256266365,Forward Rate,3.0075373022562664,2.2105399171583557,2.2105399171583557,100,6.0,26.5,1.9,3.0,9.0
germany,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.199114815674004,2.199114815674004,100,6.0,30.0,2.3,2.9,8.9
sweden,sek,3.7500000000000004,-0.05406273776509263,Forward Rate,3.804062737765093,3.020425813785484,1.510212906892742,99,6.0,20.6,0.9,2.25,8.249999999999998
singapore,sgd,3.6500000000000004,-1.7630231376270602,Forward Rate,5.413023137627061,4.49280920423046,1.49760306807682,98,6.0,17.0,1.2,2.35,8.35
australia,aud,1.9000000000000004,-0.006113403704122167,Forward Rate,1.9061134037041225,1.3342793825928856,1.3342793825928856,100,6.0,30.0,2.4,4.1,10.1
norway,nok,1.5,-0.034105222639280175,Forward Rate,1.5341052226392802,1.1966020736586385,0.5983010368293192,99,6.0,22.0,2.3,4.5,10.5
finland,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.5132740750560045,0.5026548150112009,96,6.0,20.0,0.7,2.9,8.9
austria,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.4190262972414045,0.4838052594482809,96,6.0,23.0,3.2,2.9,8.9
taiwan,twd,3.9999999999999996,-0.3306431097478656,Forward Rate,4.330643109747865,3.464514487798292,0.31495586252711744,90,6.0,20.0,2.66,2.0,8.0
united_states_of_america,usd,1.5,0.0,Forward Rate,1.5,1.185,0.29625,97,6.0,21.0,3.0,4.5,10.5
new_zealand,nzd,2.249999999999999,-0.013611999306506473,Forward Rate,2.2636119993065056,1.629800639500684,0.2716334399167807,95,6.0,28.0,2.2,3.75,9.75
qatar,qar,0.9000000000000008,-2.716167764182291,Forward Rate,3.6161677641822916,3.2545509877640626,0.250350075981851,88,6.0,10.0,0.24,5.1,11.099999999999998
macau,mop,1.2499999999999998,-2.3874985773246733,Forward Rate,3.637498577324673,3.2009987480457123,0.22864276771755085,87,6.0,12.0,0.57,4.75,10.75
france,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.3561944453650043,0.2141994950331822,90,6.0,25.0,1.7,2.9,8.9
ireland,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.748893519592505,0.2114533476609619,88,6.0,12.5,1.9,2.9,8.9
china,cny,2.9,-2.457126073050533,Forward Rate,5.357126073050533,4.017844554787899,0.1746888936864304,78,6.0,25.0,0.5,3.1,9.1
belgium,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.3561944453650043,0.16829960324035745,87,6.0,25.0,4.08,2.9,8.9
japan,jpy,5.499999999999999,-0.03449582147293517,Forward Rate,5.534495821472935,3.839833200937922,0.1599930500390801,77,6.0,30.62,4.0,0.5,6.5
south_korea,krw,3.0,-0.03035842692461488,Forward Rate,3.030358426924615,2.303072404462707,0.1535381602975138,86,6.0,24.0,2.2,3.0,9.0
hong_kong,hkd,1.2499999999999998,-0.9756174945364688,Forward Rate,2.2256174945364684,1.858390607937951,0.1429531236875347,88,6.0,16.5,2.0,4.75,10.75
united_arab_emirates,aed,1.5999999999999988,-0.10685318419169018,Forward Rate,1.7068531841916887,1.553236397614437,0.14120330887403973,90,6.0,9.0,2.89,4.4,10.4
czech_republic,czk,2.249999999999999,-0.1943635208571038,Forward Rate,2.444363520857103,1.9310471814771115,0.12069044884231947,85,6.0,21.0,2.8,3.75,9.75
thailand,thb,3.7500000000000004,-1.6445163096161297,Forward Rate,5.39451630961613,4.315613047692905,0.11987814021369178,65,6.0,20.0,1.32,2.25,8.249999999999998
estonia,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.5132740750560045,0.11967971785980973,80,6.0,20.0,3.9,2.9,8.9
kuwait,kwd,1.9999999999999991,-0.48661896511729,Forward Rate,2.486618965117289,2.1136261203496955,0.10568130601748477,81,6.0,15.0,2.5,4.0,10.0
lithuania,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.638937778808805,0.1055575111523522,76,6.0,16.0,3.6,2.9,8.9
botswana,bwp,4.1,-0.48661896511729,Forward Rate,4.58661896511729,3.577562792791486,0.10522243508210252,67,6.0,22.0,2.5,1.9,7.9
malaysia,myr,3.0,-1.2701685175121502,Forward Rate,4.27016851751215,3.2453280733092345,0.09834327494876469,68,6.0,24.0,1.7,3.0,9.0
slovenia,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.4504422231796044,0.09801768892718418,76,6.0,22.0,2.0,2.9,8.9
bahamas,bsd,1.9999999999999991,-3.960913809504584,Forward Rate,5.960913809504583,5.960913809504583,0.09313927827350911,37,6.0,0.0,-1.0,4.0,10.0
slovakia,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.387610371303204,0.09183116812704632,75,6.0,24.0,3.9,2.9,8.9
latvia,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.5132740750560045,0.08666462327779326,72,6.0,20.0,3.0,2.9,8.9
barbados,bbd,3.9999999999999996,-2.556678097200695,Forward Rate,6.5566780972006935,6.196060801854656,0.08487754523088568,28,6.0,5.5,0.4,2.0,8.0
portugal,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.4818581491178047,0.08272860497059349,71,6.0,21.0,2.5,2.9,8.9
united_kingdom,gbp,1.5,-0.010550506150863725,Forward Rate,1.5105505061508637,1.1329128796131478,0.08092234854379626,87,6.0,25.0,3.0,4.5,10.5
cyprus,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.748893519592505,0.07853981484550014,66,6.0,12.5,2.5,2.9,8.9
malta,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.0420351859830035,0.07853981484550014,75,6.0,35.0,1.8,2.9,8.9
spain,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.3561944453650043,0.07853981484550014,71,6.0,25.0,2.9,2.9,8.9
saudi_arabia,sar,0.9999999999999996,-0.9756174945364688,Forward Rate,1.9756174945364684,1.5804939956291748,0.07526161883948451,80,6.0,20.0,2.0,5.0,11.0
croatia,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.5761059269324047,0.073603026483783,66,6.0,18.0,4.0,2.9,8.9
seychelles,scr,4.25,-1.9905545213406095,Forward Rate,6.240554521340609,4.181171529298208,0.0685437955622657,40,6.0,33.0,0.97,1.75,7.75
trinidad_and_tobago,ttd,2.4999999999999996,-2.457126073050533,Forward Rate,4.957126073050532,3.4699882511353723,0.06803898531637985,50,6.0,30.0,0.5,3.5,9.5
italy,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.387610371303204,0.06122077875136421,62,6.0,24.0,1.5,2.9,8.9
morocco,mad,3.5000000000000004,-0.9756174945364688,Forward Rate,4.475617494536469,2.998663721339434,0.058797327869400666,50,6.0,33.0,2.0,2.5,8.5
albania,all,3.25,-1.073704800095664,Forward Rate,4.323704800095664,3.6751490800813142,0.057424204376270535,37,6.0,15.0,1.9,2.75,8.75
bulgaria,bgn,3.1799999999999997,0.6773127005845879,Forward Rate,2.5026872994154115,2.2524185694738703,0.05631046423684676,61,6.0,10.0,3.7,2.82,8.82
papua_new_guinea,pgk,1.9999999999999991,-3.8599546893693466,Forward Rate,5.859954689369346,4.101968282558541,0.055432003818358666,27,6.0,30.0,-0.9,4.0,10.0
oman,omr,0.9999999999999996,-1.9608471388376318,Forward Rate,2.9608471388376314,2.5167200680119866,0.05033440136023974,51,6.0,15.0,1.0,5.0,11.0
greece,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.4504422231796044,0.04900884446359209,51,6.0,22.0,2.7,2.9,8.9
mauritius,mur,1.5,-1.073704800095664,Forward Rate,2.573704800095664,2.1876490800813144,0.04755758869741988,55,6.0,15.0,1.9,4.5,10.5
guatemala,gtq,1.5,-1.9707486191170216,Forward Rate,3.4707486191170216,2.603061464337766,0.04732839026068665,46,6.0,25.0,0.99,4.5,10.5
bahrain,bhd,0.7500000000000007,-2.457126073050533,Forward Rate,3.2071260730505333,3.2071260730505333,0.047163618721331374,33,6.0,0.0,0.5,5.25,11.249999999999998
indonesia,idr,0.2500000000000002,-2.198753674522633,Forward Rate,2.448753674522633,1.910027866127654,0.04658604551530863,60,6.0,22.0,0.76,5.75,11.75
costa_rica,crc,1.9999999999999991,-1.82232925777988,Forward Rate,3.8223292577798786,2.675630480445915,0.04459384134076525,41,6.0,30.0,1.14,4.0,10.0
montenegro,eur,3.1,-0.041592593820005686,Forward Rate,3.1415925938200058,2.6703537047470047,0.04045990461737886,35,6.0,15.0,2.8,2.9,8.9
sri_lanka,lkr,-2.0000000000000018,-7.038079676179954,Forward Rate,5.038079676179952,3.526655773325966,0.03918506414806629,11,6.0,30.0,-4.0,8.0,14.000000000000002
ivory_coast,xof,0.5000000000000004,-2.3576730563996935,Forward Rate,2.857673056399694,2.1432547922997705,0.03572091320499618,41,6.0,25.0,2.5,5.5,11.5
bosnia_and_herzegovina,bam,1.9199999999999995,-0.7797310460031709,Forward Rate,2.6997310460031705,2.4297579414028534,0.03283456677571423,27,6.0,10.0,2.2,4.08,10.08
benin,xof,0.5000000000000004,-2.3576730563996935,Forward Rate,2.857673056399694,2.000371139479786,0.03077494060738132,36,6.0,30.0,0.6,5.5,11.5
senegal,xof,0.5000000000000004,-2.3576730563996935,Forward Rate,2.857673056399694,2.000371139479786,0.0303086536284816,35,6.0,30.0,1.8,5.5,11.5
burkina_faso,xof,0.5000000000000004,-2.3576730563996935,Forward Rate,2.857673056399694,2.0718129658897784,0.02557793785049109,20,6.0,27.5,4.9,5.5,11.5
cambodia,khr,5.2299999999999995,3.05,Log Inflation,2.18,1.744,0.024563380281690143,30,6.0,20.0,3.05,0.77,6.77
israel,ils,1.5,0.7736982502152493,Forward Rate,0.7263017497847506,0.559252347334258,0.01997329811908064,73,6.0,23.0,3.8,4.5,10.5
fiji,fjd,5.75,4.0,Log Inflation,1.7499999999999996,1.3124999999999996,0.019886363636363633,35,6.0,25.0,4.0,0.25,6.25
vietnam,vnd,1.5,0.6097874966490283,Forward Rate,0.8902125033509716,0.7121700026807773,0.01294854550328686,46,6.0,20.0,3.63,4.5,10.5
poland,pln,0.2500000000000002,-0.04124098954565447,Forward Rate,0.2912409895456547,0.2359052015319803,0.007863506717732676,71,6.0,19.0,5.3,5.75,11.75
armenia,amd,-0.7500000000000007,-1.2701685175121502,Forward Rate,0.5201685175121494,0.4265381843599626,0.0067704473707930575,38,6.0,18.0,1.7,6.75,12.75
philippines,php,0.2500000000000002,-0.09713453896318495,Forward Rate,0.3471345389631852,0.2603509042223889,0.006508772605559722,61,6.0,25.0,2.9,5.75,11.75
iraq,iqd,0.5000000000000004,-0.09713453896318495,Forward Rate,0.5971345389631854,0.5075643581187075,0.006507235360496251,23,6.0,15.0,2.9,5.5,11.5
el_salvador,usd,0.4699999999999996,0.0,Forward Rate,0.4699999999999996,0.3289999999999997,0.004112499999999996,21,6.0,30.0,0.31,5.53,11.53
jordan,jod,-0.5000000000000004,-0.6819315272054972,Forward Rate,0.1819315272054967,0.14554522176439738,0.002310241615307895,38,6.0,20.0,2.3,6.5,12.5
nicaragua,nio,-0.2500000000000002,-0.2624801001463457,Forward Rate,0.012480100146345513,0.008736070102441859,0.00012304324087946281,30,6.0,30.0,2.73,6.25,12.25
dominican_republic,dop,0.2500000000000002,0.31019799980039725,Forward Rate,-0.060197999800397015,-0.04394453985428982,-0.000732408997571497,41,6.0,27.0,3.32,5.75,11.75
chad,xaf,0.9999999999999996,1.9231361927887607,Forward Rate,-0.9231361927887611,-0.6000385253126947,-0.007895243754114404,25,6.0,35.0,7.0,5.0,11.0
cameroon,xaf,0.9999999999999996,1.9231361927887607,Forward Rate,-0.9231361927887611,-0.6185012491684698,-0.007929503194467561,23,6.0,33.0,5.0,5.0,11.0
republic_of_the_congo,xaf,0.9999999999999996,1.9231361927887607,Forward Rate,-0.9231361927887611,-0.664658058807908,-0.008007928419372385,18,6.0,28.0,1.8,5.0,11.0
gabon,xaf,0.9999999999999996,1.9231361927887607,Forward Rate,-0.9231361927887611,-0.6461953349521327,-0.008284555576309393,23,6.0,30.0,0.7,5.0,11.0
namibia,nad,-0.7500000000000007,0.1939864817826587,Forward Rate,-0.9439864817826594,-0.651350672430035,-0.010177354256719296,37,6.0,31.0,3.2,6.75,12.75
peru,pen,1.2499999999999998,1.8500000000000003,Log Inflation,-0.6000000000000005,-0.4230000000000005,-0.010317073170731718,60,6.0,29.5,1.85,4.75,10.75
honduras,hnl,0.2500000000000002,1.2254700571865982,Forward Rate,-0.975470057186598,-0.7316025428899485,-0.011431289732655446,37,6.0,25.0,4.27,5.75,11.75
paraguay,pyg,0.0,0.7736982502152493,Forward Rate,-0.7736982502152493,-0.6963284251937244,-0.013926568503874488,51,6.0,10.0,3.8,6.0,12.0
georgia,gel,-2.0000000000000018,-0.9756174945364688,Forward Rate,-1.024382505463533,-0.870725129644003,-0.015548663029357196,45,6.0,15.0,2.0,8.0,14.000000000000002
swaziland,szl,-1.0000000000000009,0.8699909875545937,Forward Rate,-1.8699909875545946,-1.3557434659770808,-0.017838729815487907,25,6.0,27.5,3.9,7.0,13.0
south_africa,zar,-1.5000000000000013,0.009127169986844486,Forward Rate,-1.5091271699868458,-1.1016628340903973,-0.018361047234839955,41,6.0,27.0,3.0,7.5,13.5
macedonia,mkd,0.6500000000000006,1.8278527172615726,Forward Rate,-1.177852717261572,-1.0600674455354149,-0.01892977581313241,45,6.0,10.0,4.9,5.35,11.35
jamaica,jmd,0.0,1.6370129646855403,Forward Rate,-1.6370129646855403,-1.2277597235141553,-0.019488249579589768,38,6.0,25.0,4.7,6.0,12.0
serbia,rsd,0.2500000000000002,1.5414563401186754,Forward Rate,-1.2914563401186752,-1.0977378891008738,-0.020712035643412716,48,6.0,15.0,4.6,5.75,11.75
