country,corporate_tax
afghanistan,20.0
albania,15.0
algeria,26.0
angola,25.0
argentina,35.0
armenia,18.0
aruba,22.0
australia,30.0
austria,23.0
azerbaijan,20.0
bahamas,0.0
bahrain,0.0
bangladesh,27.5
barbados,5.5
belarus,25.0
belgium,25.0
benin,30.0
bermuda,0.0
bolivia,25.0
bosnia_and_herzegovina,10.0
botswana,22.0
brazil,34.0
brunei,18.5
bulgaria,10.0
burkina_faso,27.5
cambodia,20.0
cameroon,33.0
canada,26.5
cayman_islands,0.0
chad,35.0
chile,27.0
china,25.0
colombia,35.0
congo,30.0
costa_rica,30.0
croatia,18.0
cyprus,12.5
czech_republic,21.0
denmark,22.0
dominican_republic,27.0
ecuador,25.0
egypt,22.5
el_salvador,30.0
equatorial_guinea,35.0
estonia,20.0
ethiopia,30.0
euro_area,23.0
european_union,21.2
fiji,25.0
finland,20.0
france,25.0
gabon,30.0
gambia,27.0
georgia,15.0
germany,30.0
ghana,25.0
greece,22.0
guam,21.0
guatemala,25.0
guinea,30.0
honduras,25.0
hong_kong,16.5
hungary,9.0
iceland,21.0
india,34.94
indonesia,22.0
iraq,15.0
ireland,12.5
isle_of_man,0.0
israel,23.0
italy,24.0
ivory_coast,25.0
jamaica,25.0
japan,30.62
jordan,20.0
kazakhstan,20.0
kenya,30.0
kosovo,10.0
kuwait,15.0
laos,20.0
latvia,20.0
lebanon,17.0
lesotho,25.0
libya,24.0
liechtenstein,12.5
lithuania,16.0
luxembourg,23.87
macau,12.0
macedonia,10.0
madagascar,20.0
malawi,30.0
malaysia,24.0
maldives,15.0
malta,35.0
mauritania,25.0
mauritius,15.0
mexico,30.0
micronesia,21.0
moldova,12.0
mongolia,25.0
montenegro,15.0
morocco,33.0
mozambique,32.0
myanmar,22.0
namibia,31.0
netherlands,25.8
new_zealand,28.0
nicaragua,30.0
nigeria,30.0
norway,22.0
oman,15.0
pakistan,29.0
panama,25.0
papua_new_guinea,30.0
paraguay,10.0
peru,29.5
philippines,25.0
poland,19.0
portugal,21.0
puerto_rico,37.5
qatar,10.0
republic_of_the_congo,28.0
romania,16.0
russia,25.0
rwanda,28.0
samoa,27.0
saudi_arabia,20.0
senegal,30.0
serbia,15.0
seychelles,33.0
sierra_leone,25.0
singapore,17.0
slovakia,24.0
slovenia,22.0
solomon_islands,30.0
south_africa,27.0
south_korea,24.0
spain,25.0
sri_lanka,30.0
sudan,35.0
suriname,36.0
swaziland,27.5
sweden,20.6
switzerland,14.6
syria,28.0
taiwan,20.0
tanzania,30.0
thailand,20.0
tonga,25.0
trinidad_and_tobago,30.0
tunisia,15.0
turkey,25.0
uganda,30.0
ukraine,18.0
united_arab_emirates,9.0
united_kingdom,25.0
united_states,21.0
uruguay,25.0
uzbekistan,15.0
vanuatu,0.0
venezuela,34.0
vietnam,20.0
zambia,30.0
zimbabwe,24.72
