country,last,previous,rate_of_change,unit,date
ecuador,112.0,112.0,0.0,points,2025-01-01
usa,318.0,316.0,2.0,points,2025-01-01
eurozone,127.0,127.0,0.0,points,2025-01-01
canada,161.0,161.0,0.0,points,2025-01-01
uk,135.0,136.0,1.0,points,2025-01-01
australia,139.0,139.0,0.0,points,2024-12-01
newzealand,1287.0,1280.0,7.0,points,2024-12-01
hongkong,109.0,108.0,1.0,points,2025-01-01
japan,111.0,111.0,0.0,points,2025-01-01
peru,114.0,114.0,0.0,points,2025-01-01
southkorea,116.0,115.0,1.0,points,2025-01-01
switzerland,107.0,107.0,0.0,points,2025-01-01
brazil,7112.0,7100.0,12.0,points,2025-01-01
singapore,117.0,117.0,0.0,points,2024-12-01
