country,last,previous,rate_of_change,unit,date
ecuador,102.0,105.0,3.0,points,2025-01-01
usa,341.0,339.0,2.0,points,2025-01-01
eurozone,134.0,133.0,1.0,points,2024-12-01
canada,186.0,186.0,0.0,points,2025-01-01
uk,143.0,141.0,2.0,points,2025-01-01
australia,149.0,150.0,1.0,points,2024-12-01
newzealand,1405.0,1398.0,7.0,points,2024-12-01
japan,104.0,104.0,0.0,points,2025-01-01
peru,106.0,106.0,0.0,points,2025-01-01
southkorea,116.0,116.0,0.0,points,2025-01-01
switzerland,113.0,114.0,1.0,points,2025-01-01
brazil,11351.0,11758.0,407.0,points,2025-01-01
singapore,116.0,116.0,0.0,points,2024-12-01
