year,usd_price_lbs,inflation_rate
1994,3.29,2.60
1995,3.49,2.80
1996,3.26,3.00
1997,3.63,2.30
1998,3.46,1.60
1999,2.95,2.20
2000,3.59,3.40
2001,2.81,2.80
2002,2.56,1.60
2003,2.40,2.30
2004,2.21,2.70
2005,2.26,3.40
2006,2.26,3.20
2007,2.13,2.80
2008,2.29,3.80
2009,2.03,-0.40
2010,2.28,1.60
2011,2.53,3.20
2012,2.52,2.10
2013,3.42,1.50
2014,3.75,1.60
2015,3.20,0.10
2016,3.07,1.30
2017,3.05,2.10
2018,2.87,2.40
2019,2.59,1.80
2020,2.42,1.20
2021,2.74,4.70
2022,2.84,8.00
2023,2.35,4.10
2024,2.24,2.90
