country,last,previous,rate_of_change,unit,date
peru,30.0,30.0,0.0,percent,2025-12-01
singapore,24.0,24.0,0.0,percent,2025-12-01
hongkong,15.0,15.0,0.0,percent,2025-12-01
newzealand,39.0,39.0,0.0,percent,2025-12-01
australia,45.0,45.0,0.0,percent,2025-12-01
switzerland,40.0,40.0,0.0,percent,2025-12-01
ecuador,37.0,37.0,0.0,percent,2025-12-01
usa,37.0,37.0,0.0,percent,2025-12-01
eurozone,41.8,42.7,0.9000000000000057,percent,2023-12-01
southkorea,45.0,45.0,0.0,percent,2025-12-01
uk,45.0,45.0,0.0,percent,2025-12-01
japan,55.95,55.95,0.0,percent,2025-12-01
brazil,27.5,27.5,0.0,percent,2025-12-01
canada,33.0,33.0,0.0,percent,2025-12-01
