country,last,previous,rate_of_change,unit,date
peru,18.0,18.0,0.0,percent,2025-12-01
singapore,9.0,8.0,1.0,percent,2025-12-01
newzealand,15.0,15.0,0.0,percent,2025-12-01
australia,10.0,10.0,0.0,percent,2025-12-01
switzerland,8.1,8.1,0.0,percent,2025-12-01
ecuador,15.0,12.0,3.0,percent,2025-12-01
usa,0.0,0.0,0.0,percent,2025-12-01
eurozone,20.8,20.8,0.0,percent,2023-12-01
southkorea,10.0,10.0,0.0,percent,2025-12-01
uk,20.0,20.0,0.0,percent,2025-12-01
japan,10.0,10.0,0.0,percent,2025-12-01
brazil,17.0,17.0,0.0,percent,2025-12-01
canada,5.0,5.0,0.0,percent,2025-12-01
hongkong,0.0,0.0,0.0,percent,2025-12-01
