country,last,previous,rate_of_change,unit,date
singapore,20.0,20.0,0.0,percent,2025-12-01
newzealand,10.0,10.0,0.0,percent,2025-12-01
australia,2.0,2.0,0.0,percent,2025-12-01
switzerland,6.4,6.4,0.0,percent,2025-12-01
ecuador,9.45,9.45,0.0,percent,2025-12-01
usa,7.65,7.65,0.0,percent,2025-12-01
southkorea,9.4,9.4,0.0,percent,2025-12-01
uk,10.0,14.0,4.0,percent,2025-12-01
japan,15.54,14.75,0.7899999999999991,percent,2024-12-01
brazil,14.0,14.0,0.0,percent,2025-12-01
canada,7.59,7.61,0.0200000000000004,percent,2025-12-01
