country,last,previous,rate_of_change,unit,date
peru,30.0,30.0,0.0,percent,2024-12-01
singapore,15.0,15.0,0.0,percent,2024-12-01
hongkong,0.0,0.0,0.0,percent,2024-12-01
newzealand,15.0,15.0,0.0,percent,2024-12-01
australia,10.0,10.0,0.0,percent,2024-12-01
switzerland,35.0,35.0,0.0,percent,2024-12-01
usa,30.0,30.0,0.0,percent,2024-12-01
southkorea,20.0,20.0,0.0,percent,2024-12-01
uk,20.0,20.0,0.0,percent,2024-12-01
japan,20.0,20.0,0.0,percent,2024-12-01
brazil,15.0,15.0,0.0,percent,2024-12-01
canada,25.0,25.0,0.0,percent,2024-12-01
ecuador,15.0,15.0,0.0,percent,2024-12-01
eurozone,20.8,20.8,0.0,percent,2024-12-01
