country,deposit_rate
albania,1.75
algeria,1.75
angola,6.88
antigua_and_barbuda,1.64
argentina,31.3
armenia,5.25
aruba,2.8
australia,3.2
azerbaijan,8.65
bahamas,0.54
bangladesh,6.52
barbados,0.14
belarus,9.72
belize,2.08
bhutan,3.75
bolivia,3.18
bosnia_and_herzegovina,1.18
botswana,2.09
brunei,0.18
bulgaria,0.08
cambodia,1.54
cape_verde,0.76
chile,10.41
colombia,13.21
comoros,2.06
costa_rica,5.07
croatia,0.02
czech_republic,3.0
dominica,1.63
dominican_republic,8.85
east_timor,0.6
ecuador,5.86
egypt,20.7
euro_area,2.75
fiji,1.2
georgia,10.82
grenada,0.88
guatemala,4.21
guyana,0.78
haiti,4.7
honduras,5.94
hungary,5.5
indonesia,5.0
jamaica,5.8
japan,0.12
jordan,5.87
kenya,9.17
kuwait,2.5
kyrgyzstan,3.32
lebanon,1.17
lesotho,4.74
macau,0.64
macedonia,3.95
madagascar,12.0
malaysia,2.63
maldives,1.5
mauritius,4.58
mexico,4.08
micronesia,0.04
moldova,3.6
mongolia,11.83
morocco,2.79
mozambique,7.26
namibia,5.39
new_zealand,4.33
nicaragua,2.12
nigeria,11.99
norway,3.5
oman,4.15
papua_new_guinea,0.34
paraguay,3.42
peru,4.82
philippines,5.25
poland,5.25
qatar,4.6
romania,5.5
russia,21.57
rwanda,9.65
samoa,1.79
saudi_arabia,5.15
serbia,4.5
seychelles,1.9
sierra_leone,18.25
solomon_islands,0.41
south_africa,8.07
south_korea,3.19
sri_lanka,7.5
st_kitts_and_nevis,2.0
st_lucia,1.23
st_vincent_and_the_grenadines,1.24
suriname,7.5
sweden,2.15
switzerland,0.21
thailand,1.37
tonga,1.53
trinidad_and_tobago,1.5
turkey,43.5
uganda,12.41
ukraine,8.55
united_kingdom,4.25
uruguay,8.1
uzbekistan,18.1
vanuatu,0.4
venezuela,36.0
vietnam,5.08
zambia,5.88
zimbabwe,8.15
