country,inflation_rate
afghanistan,-0.8
albania,1.9
algeria,-1.5
angola,26.48
argentina,84.5
armenia,1.7
aruba,0.3
australia,2.4
austria,3.2
azerbaijan,5.4
bahamas,-1.0
bahrain,0.5
bangladesh,9.94
barbados,0.4
belarus,5.2
belgium,4.08
belize,2.6
benin,0.6
bermuda,1.1
bhutan,2.2
bolivia,12.03
bosnia_and_herzegovina,2.2
botswana,2.5
brazil,4.56
brunei,-0.4
bulgaria,3.7
burkina_faso,4.9
burundi,38.2
cambodia,3.05
cameroon,5.0
canada,1.9
cape_verde,2.1
cayman_islands,1.7
central_african_republic,1.2
chad,7.0
chile,4.9
china,0.5
colombia,5.22
comoros,2.1
congo,15.55
costa_rica,1.14
croatia,4.0
cuba,24.88
cyprus,2.5
czech_republic,2.8
denmark,1.5
djibouti,-0.6
dominican_republic,3.32
east_timor,-0.2
ecuador,0.26
egypt,24.0
el_salvador,0.31
equatorial_guinea,2.5
eritrea,6.4
estonia,3.9
ethiopia,17.0
euro_area,2.5
faroe_islands,0.8
fiji,4.0
finland,0.7
france,1.7
gabon,0.7
gambia,10.27
georgia,2.0
germany,2.3
ghana,23.5
greece,2.7
guatemala,0.99
guinea,3.1
guinea_bissau,5.7
guyana,2.9
haiti,28.5
honduras,4.27
hong_kong,2.0
hungary,5.5
iceland,4.6
india,4.31
indonesia,0.76
iran,31.8
iraq,2.9
ireland,1.9
israel,3.8
italy,1.5
ivory_coast,2.5
jamaica,4.7
japan,4.0
jordan,2.3
kazakhstan,8.9
kenya,3.3
kosovo,1.5
kuwait,2.5
kyrgyzstan,6.7
laos,15.5
latvia,3.0
lebanon,16.1
lesotho,3.7
liberia,7.2
libya,2.3
liechtenstein,0.4
lithuania,3.6
luxembourg,1.94
macau,0.57
macedonia,4.9
madagascar,7.8
malawi,28.5
malaysia,1.7
maldives,4.8
mali,4.9
malta,1.8
mauritania,1.1
mauritius,1.9
mexico,3.59
moldova,9.1
mongolia,9.6
montenegro,2.8
morocco,2.0
mozambique,4.69
myanmar,28.58
namibia,3.2
nepal,5.41
netherlands,3.3
new_caledonia,1.6
new_zealand,2.2
nicaragua,2.73
niger,4.2
nigeria,24.48
norway,2.3
oman,1.0
pakistan,2.4
palestine,22.77
panama,-0.18
papua_new_guinea,-0.9
paraguay,3.8
peru,1.85
philippines,2.9
poland,5.3
portugal,2.5
puerto_rico,1.9
qatar,0.24
republic_of_the_congo,1.8
romania,5.0
russia,9.9
rwanda,5.7
sao_tome_and_principe,11.6
saudi_arabia,2.0
senegal,1.8
serbia,4.6
seychelles,0.97
sierra_leone,13.78
singapore,1.2
slovakia,3.9
slovenia,2.0
solomon_islands,4.3
somalia,5.57
south_africa,3.0
south_korea,2.2
south_sudan,113.0
spain,2.9
sri_lanka,-4.0
suriname,10.1
swaziland,3.9
sweden,0.9
switzerland,0.4
syria,120.0
taiwan,2.66
tajikistan,3.6
tanzania,3.1
thailand,1.32
togo,2.2
trinidad_and_tobago,0.5
tunisia,6.0
turkey,42.12
turkmenistan,5.9
uganda,3.6
ukraine,12.9
united_arab_emirates,2.89
united_kingdom,3.0
united_states,3.0
uruguay,5.05
uzbekistan,9.8
vanuatu,5.3
venezuela,23.58
vietnam,3.63
zambia,16.7
zimbabwe,57.5
