country,last,previous,rate_of_change,unit,date
ecuador,111.0,110.0,1.0,points,2024-09-01
usa,126.0,126.0,0.0,points,2024-12-01
eurozone,117.0,117.0,0.0,points,2024-09-01
canada,127.0,126.0,1.0,points,2024-09-01
uk,113.0,112.0,1.0,points,2024-12-01
australia,104.0,104.0,0.0,points,2024-09-01
newzealand,1470.0,1461.0,9.0,points,2024-06-01
hongkong,109.0,106.0,3.0,points,2024-09-01
japan,112.0,108.0,4.0,points,2024-12-01
southkorea,112.0,111.0,1.0,points,2024-09-01
switzerland,106.0,106.0,0.0,points,2024-09-01
brazil,4.7,8.6,3.9,percent,2023-12-01
singapore,130.0,134.0,4.0,points,2024-09-01
peru,111.0,111.0,0.0,points,2024-09-01
