country,last,previous,rate_of_change,unit,date
usa,7.5,7.5,0.0,percent,2025-01-01
eurozone,4.57,4.74,0.1699999999999999,percent,2024-12-01
southkorea,4.64,4.76,0.1200000000000001,percent,2024-12-01
brazil,53.0,53.2,0.2000000000000028,percent,2024-12-01
canada,5.45,5.45,0.0,percent,2025-01-01
hongkong,5.25,5.25,0.0,percent,2025-01-01
peru,0.76,0.76,0.0,percent,2025-01-01
australia,10.79,10.79,0.0,percent,2025-01-01
japan,2.0,1.9,0.1,percent,2025-01-01
newzealand,11.61,11.63,0.0200000000000013,percent,2025-01-01
uk,8.48,8.5,0.0199999999999995,percent,2024-12-01
ecuador,7.0,7.0,0.0,percent,2025-01-01
switzerland,0.75,0.75,0.0,percent,2025-01-01
singapore,5.0,5.0,0.0,percent,2025-01-01
