country,last,previous,rate_of_change,unit,date
usa,21534.0,21448.0,86.0,usd_billion,2024-12-01
japan,1258835.0,1257616.0,1219.0,jpy_billion,2025-01-01
uk,3081847.0,3069877.0,11970.0,gbp_million,2024-12-01
eurozone,15571984.0,15540367.0,31617.0,eur_million,2024-12-01
ecuador,88485.0,86666.0,1819.0,usd_million,2024-12-01
switzerland,971643.0,953054.0,18589.0,chf_million,2024-12-01
peru,344028.0,336802.0,7226.0,pen_million,2024-12-01
southkorea,4157037.0,4136954.0,20083.0,krw_billion,2024-12-01
canada,2638116.0,2625309.0,12807.0,cad_million,2024-12-01
brazil,6590081.0,6517936.0,72145.0,brl_million,2024-12-01
singapore,828325.0,823406.0,4919.0,sgd_million,2024-12-01
hongkong,18458425.0,18302050.0,156375.0,hkd_million,2024-12-01
