fecha,regimen_aduanero,refrendo,item,ruc_importador,probable_importador,pais_de_origen,pais_de_procedencia,ciudad_embarque,via_de_transporte,aduana,partida_arancelaria,descripcion_arancelaria,descripcion_producto_comercial,marca,estado_de_mercancia,cantidad,unidad_de_medida,advalorem,us$_fob,us$_flete,us$_seguro,us$_cif,embarcador,empresa_de_transporte,pais_de_embarque,agente_de_aduana,nave,conocimiento_de_embarque,peso_neto_kg,tipo_aforo,dirección_consignatario,caracteristicas,producto,marca_comercial,año_fabricación,modelo_mercaderia,us$_fob_unit,código_tnan,contenedor,conocimiento_embarque,agencia_de_carga,país_de_origen,descripción_arancelaria,país_de_embarque
2017-01-03,importacion_a_consumo,028-2017-10-00001898,33,1791812484001,trecx_cia._ltda.,spain,spain,valencia,maritimo,guayaquil_maritimo,9603400000,"pinceles_y_brochas_para_pintar,_enlucir,_barnizar_o_similares_(excepto_los_de_la_subpartida_9603.30);_almohadillas_o_muñequillas_y_rodillos,_para_pintar_",rodillo_aireador_de_24_cm,monto,nuevo,10.0,numero_de_unidades,18.7,61.1,0.88,0.34,62.32,pinturas_monto_s.a.u.,transoceanica_compañia_limitada,spain,01905050-zurita_nacato_zoila_sara,domingo,167503384/001,105.79,aforo-aforo_automatico,pichincha_/_quito_/_rumiurco_oe4-365_y_pedro_freile,pinturas,pinturas,monto,2016.0,24_cm,6.11,0,,,,,,
2017-01-04,importacion_a_consumo,028-2017-10-00005656,1,1790208087001,f.v._-_area_andina_s.a.,italy,italy,genova,maritimo,guayaquil_maritimo,8481909000,"arancel_0%_para_cabezas_y/o_cartucho_de_cierre_cerámico;_otros_elementos_de_cierre_(valvulitas_o_cabezas_con_tornillos_ascendente);_manijas,_volantes_y_botones_para_apertura_y_cierre_de_caudal_en_artículos_de_grifería;_picos_de_grifería;_rosetas_(set_comp",aireador_oculto_coin_slot,fv,nuevo,2500.0,numero_de_unidades,0.0,961.42,25.44,1.2,988.06,neoperl_italia_srl,cma-cgm_ecuador_s.a.,italy,01905355-wca_wladimir_coka_asociados_s.a.,lucie_schulte,01_16_203520,4.0,aforo-aforo_automatico,km_25_via_sangolqui_amaguaña_valle_de_los_chillos_4640_quito,cache_coin_slot_aireador,aireador_oculto_coin_slot,fv,2016.0,4410670,0.38,4,,,,,,
2017-01-04,importacion_a_consumo,028-2017-10-00005656,2,1790208087001,f.v._-_area_andina_s.a.,italy,italy,genova,maritimo,guayaquil_maritimo,8481909000,"arancel_0%_para_cabezas_y/o_cartucho_de_cierre_cerámico;_otros_elementos_de_cierre_(valvulitas_o_cabezas_con_tornillos_ascendente);_manijas,_volantes_y_botones_para_apertura_y_cierre_de_caudal_en_artículos_de_grifería;_picos_de_grifería;_rosetas_(set_comp",aireador_cocina,fv,nuevo,20000.0,numero_de_unidades,0.0,10761.64,284.7,13.36,11059.7,neoperl_italia_srl,cma-cgm_ecuador_s.a.,italy,01905355-wca_wladimir_coka_asociados_s.a.,lucie_schulte,01_16_203520,289.3,aforo-aforo_automatico,km_25_via_sangolqui_amaguaña_valle_de_los_chillos_4640_quito,cascade_aireador,aireador_cocina,fv,2016.0,140_a,0.54,4,,,,,,
2017-01-04,importacion_a_consumo,028-2017-10-00005656,3,1790208087001,f.v._-_area_andina_s.a.,italy,italy,genova,maritimo,guayaquil_maritimo,8481909000,"arancel_0%_para_cabezas_y/o_cartucho_de_cierre_cerámico;_otros_elementos_de_cierre_(valvulitas_o_cabezas_con_tornillos_ascendente);_manijas,_volantes_y_botones_para_apertura_y_cierre_de_caudal_en_artículos_de_grifería;_picos_de_grifería;_rosetas_(set_comp",aireador_saniperl,fv,nuevo,15120.0,numero_de_unidades,0.0,4384.56,115.99,5.45,4506.0,neoperl_italia_srl,cma-cgm_ecuador_s.a.,italy,01905355-wca_wladimir_coka_asociados_s.a.,lucie_schulte,01_16_203520,241.1,aforo-aforo_automatico,km_25_via_sangolqui_amaguaña_valle_de_los_chillos_4640_quito,perlator_honeycomb_aireador,aireador_saniperl,fv,2016.0,141_e,0.29,4,,,,,,
2017-01-06,importacion_a_consumo,028-2017-10-00010392,24,791770270001,aquavi_sa,china,china,chiwan,maritimo,guayaquil_maritimo,8483609000,los_demás,pata_de_embrague-partes_de_aireadores,generico,nuevo,50.0,numero_de_unidades,0.0,105.0,2.61,1.08,108.69,"shanghai_sunlong_imp_&_exp_co.,ltd",cma-cgm_ecuador_s.a.,china,01903872-robinson_barberan_jimmy_eduardo,corcovado,shz2046080,23.16,aforo-aforo_fisico_intrusivo,guayas_/_guayaquil_/_av._cuarta_433_y_calle_quinta,spare_parts_of_aerator_shift_fork,partes_de_aireadores,generico,2016.0,generico,2.1,0,,,,,,
2017-01-06,importacion_a_consumo,028-2017-10-00010392,11,791770270001,aquavi_sa,china,china,chiwan,maritimo,guayaquil_maritimo,8479900000,partes,partes_de_aireadores-boya_del_aireador,generico,nuevo,75.0,numero_de_unidades,209.61,1350.0,33.55,13.84,1397.39,"shanghai_sunlong_imp_&_exp_co.,ltd",cma-cgm_ecuador_s.a.,china,01903872-robinson_barberan_jimmy_eduardo,corcovado,shz2046080,420.0,aforo-aforo_fisico_intrusivo,guayas_/_guayaquil_/_av._cuarta_433_y_calle_quinta,spare_parts_of_aerator_floating_boat-6c16y,partes_de_aireadores,generico,2016.0,generico,18.0,0,,,,,,
2017-01-06,importacion_a_consumo,028-2017-10-00010392,12,791770270001,aquavi_sa,china,china,chiwan,maritimo,guayaquil_maritimo,8479900000,partes,partes_de_aireadores-soporte_del_aireador,generico,nuevo,250.0,numero_de_unidades,77.63,500.0,12.43,5.12,517.55,"shanghai_sunlong_imp_&_exp_co.,ltd",cma-cgm_ecuador_s.a.,china,01903872-robinson_barberan_jimmy_eduardo,corcovado,shz2046080,40.0,aforo-aforo_fisico_intrusivo,guayas_/_guayaquil_/_av._cuarta_433_y_calle_quinta,spare_parts_of_aerator_plastic_stand-6c16y,partes_de_aireadores,generico,2016.0,generico,2.0,0,,,,,,
2017-01-06,importacion_a_consumo,028-2017-10-00010392,13,791770270001,aquavi_sa,china,china,chiwan,maritimo,guayaquil_maritimo,8479900000,partes,partes_de_aireadores-soporte_del_aireador,generico,nuevo,300.0,numero_de_unidades,465.8,3000.0,74.56,30.74,3105.3,"shanghai_sunlong_imp_&_exp_co.,ltd",cma-cgm_ecuador_s.a.,china,01903872-robinson_barberan_jimmy_eduardo,corcovado,shz2046080,284.0,aforo-aforo_fisico_intrusivo,guayas_/_guayaquil_/_av._cuarta_433_y_calle_quinta,spare_parts_of_aerator_transverse_stand,partes_de_aireadores,generico,2016.0,generico,10.0,0,,,,,,
2017-01-06,importacion_a_consumo,028-2017-10-00010392,14,791770270001,aquavi_sa,china,china,chiwan,maritimo,guayaquil_maritimo,4010390000,las_demás,banda_del_aireador,generico,nuevo,78.0,kilogramo_bruto,13.46,260.0,6.46,2.66,269.12,"shanghai_sunlong_imp_&_exp_co.,ltd",cma-cgm_ecuador_s.a.,china,01903872-robinson_barberan_jimmy_eduardo,corcovado,shz2046080,68.0,aforo-aforo_fisico_intrusivo,guayas_/_guayaquil_/_av._cuarta_433_y_calle_quinta,spare_parts_of_aerator_v_belt-6c16y,partes_de_aireadores,generico,2016.0,generico,3.33,0,,,,,,
2017-01-06,importacion_a_consumo,028-2017-10-00010392,15,791770270001,aquavi_sa,china,china,chiwan,maritimo,guayaquil_maritimo,7318159000,los_demas_(solo_para_aquellas_mercancías_diferentes_a__pernos_de_cabeza_de_botón_oval_y_sus_tuercas__no_inen),pernos_y_tuercas_del_aireador,generico,nuevo,433.0,kilogramo_bruto,310.53,2000.0,49.71,20.5,2070.21,"shanghai_sunlong_imp_&_exp_co.,ltd",cma-cgm_ecuador_s.a.,china,01903872-robinson_barberan_jimmy_eduardo,corcovado,shz2046080,393.0,aforo-aforo_fisico_intrusivo,guayas_/_guayaquil_/_av._cuarta_433_y_calle_quinta,spare_parts_of_aerator_bolt_&_nut,partes_de_aireadores,generico,2016.0,generico,4.62,1,,,,,,
