categoria,2019,2018
acuicultura_marina,1.24,1.11
venta_al_por_mayor_otros,1.34,1.45
venta_al_por_menor_en_comercios_no_especializados,1.36,1.46
educación_no_productiva,1.40,1.61
construccion_de_edificios,1.44,1.66
otras_actividades_de_concesión_de_crédito,1.47,1.59
venta_al_por_mayor_de_alimentos_bebidas_y_tabaco,1.87,1.90
actividades_inmobiliarias_realizadas_con_bienes_propios_o_arrendados,2.08,1.94
venta_de_vehiculos_automotores,2.73,2.76
actividades_combinadas_de_servicios_administrativos_de_oficina,4.16,3.03
vivienda_no_productiva,7.78,8.17
consumo_no_productivo,14.45,13.41
consumo_tarjeta_de_credito,24.29,22.80
